feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
27.75,55.0,1,875.98,0,8,44.16,0
31.33,39.0,2,839.91,0,4,13.93,1
23.87,10.0,0,1364.7,1,4,15.16,0
35.64,34.0,2,1462.07,0,4,15.71,1
29.990843475581585,49.436559691912706,2,710.61,0,8,13.77,1
28.0,99.0,1,855.72,1,3,23.14581921773945,0
28.46,29.0,2,853.7,0,5,22.65,0
29.21,59.0,2,1122.96,0,6,4.75,0
34.03,18.0,2,1289.26,1,2,24.1,0
42.65,47.0,0,1600.5,0,7,2.07,1
30.63,38.0,1,1126.63,1,6,23.14581921773945,0
24.87,17.0,1,1432.68,1,6,8.25,0
27.11,46.0,2,1092.312002002773,1,9,2.32,1
24.43,24.0,0,990.39,0,5,2.88,0
25.56,12.0,1,734.5,1,5,21.46,0
31.83,49.436559691912706,2,1494.89,1,4,17.16,1
22.43,79.0,1,899.0,1,5,28.22,0
28.2,44.0,0,773.48,0,6,60.48,0
23.18,83.0,0,1011.55,1,1,23.14581921773945,0
25.85,2.0,1,1124.87,0,1,22.09,0
28.68,56.0,0,1343.48,1,7,13.25,0
30.83,53.0,0,593.62,0,6,5.01,0
27.36,71.0,2,524.94,1,2,2.19,1
40.37,74.0,0,1629.13,0,3,21.05,0
37.07,54.0,2,717.25,0,8,1076.85,0
29.31,43.0,0,1046.06,0,5,14.77,1
40.43,22.0,2,972.24,0,6,2.07,1
25.91,22.0,2,1242.03,1,2,4.86,0
26.77,9.0,0,7967.1,1,7,8.11,0
32.33,49.436559691912706,1,1260.54,1,4,43.61,0
38.02,85.0,1,1202.15,1,9,3.53,0
21.77,49.436559691912706,0,1269.32,0,6,17.51,1
31.05,17.0,0,688.56,0,5,15.18,0
25.63,11.0,2,1147.06,1,3,40.75,0
25.92,35.0,1,1594.55,0,4,4.11,1
29.55,1.0,1,831.9,0,6,21.15,1
22.29,32.0,2,895.78,0,5,9.08,0
29.1,46.0,2,587.0,1,8,11.95,0
25.41,49.436559691912706,0,783.28,1,3,3.58,1
